project,t_scop,t_total,dyncov
strcat.simple,199,300000.0,0.0663333333333333
beamformer.simple,238101,1280000.0,18.601640625
consumer-typeset.simple,37732118,20310000.0,185.780984736583
flops-5.simple,1223290,1330000.0,91.9766917293233
symm.simple,6816237,6950000.0,98.0753525179856
Oscar.simple,35079,120000.0,29.2325
hash.simple,835922,5320000.0,15.7128195488722
lu.simple,497,70000.0,0.71
lemon.simple,8100044,263160000.0,3.07799209606323
floyd-warshall.simple,800420,930000.0,86.0666666666667
fdtd-2d.simple,160599,410000.0,39.1704878048781
450.soplex.simple,720100,1040000.0,69.2403846153846
shapes.simple,79,60000.0,0.131666666666667
pifft.simple,678260,560000.0,121.117857142857
fhourstones.simple,60393819,86070000.0,70.1682572324852
bc.simple,80917623,47020000.0,172.091924712888
ocean.simple,3667,120000.0,3.05583333333333
ks.simple,42517,1250000.0,3.40136
sieve.simple,585865,6610000.0,8.86331316187595
fldry.simple,79533493,116280000.0,68.3982567939456
ControlFlow-flt.simple,101451015,145970000.0,69.5012776597931
fp-convert.simple,2651355,3220000.0,82.3402173913043
functionobjects.simple,34467834,51120000.0,67.4253403755869
enc-pc1.simple,67706546,99030000.0,68.3697324043219
CrossingThresholds-dbl.simple,2702051,3300000.0,81.8803333333333
reg_detect.simple,9367,70000.0,13.3814285714286
testtrie.simple,644342,1030000.0,62.5574757281553
wordfreq.simple,92,70000.0,0.131428571428571
Quicksort.simple,425208,2220000.0,19.1535135135135
lencod.simple,329103080,178910000.0,183.948957576435
flops-1.simple,1459049,1520000.0,95.9900657894737
gesummv.simple,142623,200000.0,71.3115
jacobi-1d-imper.simple,1082,60000.0,1.80333333333333
treecc.simple,40479,100000.0,40.479
llu.simple,16,5850000.0,0.000273504273504274
Puzzle.simple,23002533,33820000.0,68.0145860437611
dbms.simple,26086937,55920000.0,46.6504595851216
SPASS.simple,107004347,170960000.0,62.5902825222274
Reductions-dbl.simple,28266833,39090000.0,72.3121847019698
ControlLoops-flt.simple,2457143,2700000.0,91.0052962962963
LinearDependence-flt.simple,2157208,2280000.0,94.6143859649123
gs.simple,3557172,6280000.0,56.6428662420382
huffbench.simple,6318429,21190000.0,29.8179754601227
mst.simple,5058825,5030000.0,100.573061630219
Symbolics-dbl.simple,2469212,3030000.0,81.4921452145215
doitgen.simple,409988,490000.0,83.6710204081633
8b10b.simple,789476983,470670000.0,167.734714980772
mandel-2.simple,126104945,184170000.0,68.472033990335
syrk.simple,1092136,1220000.0,89.5193442622951
Packing-dbl.simple,1566,3410000.0,0.0459237536656891
correlation.simple,845529,1000000.0,84.5529
jacobi-2d-imper.simple,43754,170000.0,25.7376470588235
enc-md5.simple,15601,1650000.0,0.945515151515152
moments.simple,4022358,5900000.0,68.1755593220339
richards_benchmark.simple,533897227,355140000.0,150.334298304894
3mm.simple,8976619,9110000.0,98.5358836443469
perimeter.simple,40321370,76170000.0,52.9360246816332
gemver.simple,168668,230000.0,73.3339130434783
aha.simple,88338510,223570000.0,39.5126850650803
atax.simple,109690,170000.0,64.5235294117647
gzip,193800859,385800000.0,50.2335041472265
InductionVariable-dbl.simple,2879056,3950000.0,72.8874936708861
ffbench.simple,468,890000.0,0.0525842696629213
himenobmtxpa.simple,725,910000.0,0.0796703296703297
lists.simple,3301701,19840000.0,16.6416381048387
unix-tbl.simple,80,60000.0,0.133333333333333
employ.simple,34051,110000.0,30.9554545454545
